newid,mod,storia,good,quartile,pct_caption,pct_face,pct_none
TI11,images,tappeto,True,1,74.70588235294117,23.52941176470588,1.7647058823529411
TI11,images,tappeto,True,2,76.10062893081762,2.515723270440252,21.38364779874214
TI11,images,tappeto,True,3,94.04761904761905,4.166666666666666,1.7857142857142856
TI11,images,tappeto,True,4,88.09523809523809,7.142857142857142,4.761904761904762
TI12,text,delfino,True,1,84.0,14.399999999999999,1.6
TI12,text,delfino,True,2,92.51336898395722,5.614973262032086,1.8716577540106951
TI12,text,delfino,True,3,94.10187667560321,4.289544235924933,1.6085790884718498
TI12,text,delfino,True,4,82.57372654155496,6.702412868632708,10.723860589812332
TI13,text,delfino,True,1,78.28418230563003,20.10723860589812,1.6085790884718498
TI13,text,delfino,True,2,98.66310160427807,0.0,1.3368983957219251
TI13,text,delfino,True,3,83.91420911528151,6.970509383378016,9.115281501340483
TI13,text,delfino,True,4,94.36997319034852,4.289544235924933,1.3404825737265416
TI27,text,gatta,True,1,60.26936026936027,34.34343434343434,5.387205387205387
TI27,text,gatta,True,2,77.44107744107744,21.21212121212121,1.3468013468013467
TI27,text,gatta,True,3,70.94594594594594,26.68918918918919,2.364864864864865
TI27,text,gatta,True,4,60.3448275862069,36.55172413793103,3.103448275862069
IT05,images,volpe e boscaiolo,True,1,40.74074074074074,0.5291005291005291,58.730158730158735
IT05,images,volpe e boscaiolo,True,2,31.382978723404253,0.5319148936170213,68.08510638297872
IT05,images,volpe e boscaiolo,True,3,54.54545454545454,0.0,45.45454545454545
IT05,images,volpe e boscaiolo,True,4,53.475935828877006,0.0,46.524064171122994
TI13,images,panda,True,1,85.8085808580858,13.2013201320132,0.9900990099009901
TI13,images,panda,True,2,99.32432432432432,0.0,0.6756756756756757
TI13,images,panda,True,3,94.98069498069498,1.1583011583011582,3.861003861003861
TI13,images,panda,True,4,89.43396226415095,7.169811320754717,3.3962264150943398
TI14,text,anguille,True,1,73.96825396825398,19.682539682539684,6.349206349206349
TI14,text,anguille,True,2,91.0828025477707,8.9171974522293,0.0
TI14,text,anguille,True,3,94.24920127795528,3.1948881789137378,2.5559105431309903
TI14,text,anguille,True,4,89.45686900958466,8.30670926517572,2.2364217252396164
TI14,images,orso,True,1,87.08133971291866,10.287081339712918,2.631578947368421
TI14,images,orso,True,2,91.16945107398568,6.682577565632458,2.1479713603818613
TI14,images,orso,True,3,92.34449760765551,6.937799043062201,0.7177033492822966
TI14,images,orso,True,4,94.68599033816425,4.3478260869565215,0.966183574879227
TI15,text,volpe e boscaiolo,True,1,16.0427807486631,72.72727272727273,11.229946524064172
TI15,text,volpe e boscaiolo,True,2,41.509433962264154,42.76729559748428,15.723270440251572
TI15,text,volpe e boscaiolo,True,3,14.689265536723164,68.92655367231639,16.38418079096045
TI15,text,volpe e boscaiolo,True,4,7.777777777777778,80.0,12.222222222222221
TI16,text,gatta,True,1,57.67195767195767,41.7989417989418,0.5291005291005291
TI16,text,gatta,True,2,96.2566844919786,2.6737967914438503,1.06951871657754
TI16,text,gatta,True,3,97.3404255319149,2.127659574468085,0.5319148936170213
TI16,text,gatta,True,4,88.26815642458101,7.262569832402235,4.4692737430167595
TI15,images,tappeto,True,1,65.08875739644971,32.544378698224854,2.366863905325444
TI15,images,tappeto,True,2,88.09523809523809,7.142857142857142,4.761904761904762
TI15,images,tappeto,True,3,57.396449704142015,28.994082840236686,13.609467455621301
TI15,images,tappeto,True,4,56.886227544910184,40.7185628742515,2.3952095808383236
TI17,text,gatta,True,1,53.17725752508361,43.47826086956522,3.3444816053511706
TI17,text,gatta,True,2,56.9023569023569,42.08754208754209,1.0101010101010102
TI17,text,gatta,True,3,86.86868686868688,6.397306397306397,6.7340067340067336
TI17,text,gatta,True,4,87.87878787878788,4.377104377104377,7.744107744107744
TI16,images,sbadiglio,False,1,9.090909090909092,86.36363636363636,4.545454545454546
TI16,images,sbadiglio,False,2,4.545454545454546,95.45454545454545,0.0
TI16,images,sbadiglio,False,3,100.0,0.0,0.0
TI16,images,sbadiglio,False,4,100.0,0.0,0.0
IT08,images,delfino,True,1,77.21088435374149,21.08843537414966,1.7006802721088436
IT08,images,delfino,True,2,93.1740614334471,5.802047781569966,1.023890784982935
IT08,images,delfino,True,3,80.54607508532423,5.802047781569966,13.651877133105803
IT08,images,delfino,True,4,93.4931506849315,3.4246575342465753,3.0821917808219177
IT09,images,volpe e boscaiolo,True,1,54.4973544973545,39.682539682539684,5.82010582010582
IT09,images,volpe e boscaiolo,True,2,90.42553191489363,6.382978723404255,3.1914893617021276
IT09,images,volpe e boscaiolo,True,3,37.12574850299401,36.52694610778443,26.34730538922156
IT09,images,volpe e boscaiolo,True,4,37.765957446808514,42.02127659574468,20.212765957446805
IT08,text,panda,True,1,78.59922178988327,16.731517509727624,4.669260700389105
IT08,text,panda,True,2,66.93227091633466,4.382470119521913,28.68525896414343
IT08,text,panda,True,3,85.71428571428571,4.511278195488721,9.774436090225564
IT08,text,panda,True,4,72.90076335877863,0.0,27.099236641221374
TI18,text,gatta,True,1,27.181208053691275,42.95302013422819,29.86577181208054
TI18,text,gatta,True,2,70.70707070707071,18.855218855218855,10.437710437710438
TI18,text,gatta,True,3,60.94276094276094,27.946127946127948,11.11111111111111
TI18,text,gatta,True,4,21.62162162162162,62.83783783783784,15.54054054054054
TI18,images,sbadiglio,True,1,58.87096774193549,27.016129032258064,14.112903225806454
TI18,images,sbadiglio,True,2,70.96774193548387,10.599078341013826,18.433179723502306
TI18,images,sbadiglio,True,3,100.0,0.0,0.0
TI18,images,sbadiglio,True,4,86.16600790513834,11.462450592885375,2.371541501976284
TI19,text,volpe e boscaiolo,True,1,50.264550264550266,45.5026455026455,4.232804232804233
TI19,text,volpe e boscaiolo,True,2,60.1063829787234,34.57446808510639,5.319148936170213
TI19,text,volpe e boscaiolo,True,3,53.475935828877006,46.524064171122994,0.0
TI19,text,volpe e boscaiolo,True,4,68.44919786096256,25.668449197860966,5.88235294117647
TI20,text,volpe e boscaiolo,True,1,8.982035928143713,77.84431137724552,13.17365269461078
TI20,text,volpe e boscaiolo,True,2,5.05050505050505,66.66666666666666,28.28282828282828
TI20,text,volpe e boscaiolo,True,3,13.675213675213676,49.572649572649574,36.75213675213676
TI20,text,volpe e boscaiolo,True,4,12.871287128712872,21.782178217821784,65.34653465346535
TI19,images,tappeto,True,1,73.21428571428571,24.404761904761905,2.380952380952381
TI19,images,tappeto,True,2,98.21428571428571,1.7857142857142856,0.0
TI19,images,tappeto,True,3,66.87116564417178,28.834355828220858,4.294478527607362
TI19,images,tappeto,True,4,90.47619047619048,8.928571428571429,0.5952380952380952
IT11,text,tappeto,True,1,61.25000000000001,33.125,5.625
IT11,text,tappeto,True,2,88.69047619047619,11.30952380952381,0.0
IT11,text,tappeto,True,3,33.33333333333333,65.47619047619048,1.1904761904761905
IT11,text,tappeto,True,4,62.66666666666667,25.333333333333336,12.0
TI21,text,volpe e boscaiolo,True,1,31.216931216931215,2.1164021164021163,66.66666666666666
TI21,text,volpe e boscaiolo,True,2,7.446808510638298,3.723404255319149,88.82978723404256
TI21,text,volpe e boscaiolo,True,3,8.88888888888889,1.6666666666666667,89.44444444444444
TI21,text,volpe e boscaiolo,True,4,6.914893617021277,0.0,93.08510638297872
TI23,text,volpe e boscaiolo,True,1,55.55555555555556,26.984126984126984,17.46031746031746
TI23,text,volpe e boscaiolo,True,2,58.68263473053892,29.34131736526946,11.976047904191617
TI23,text,volpe e boscaiolo,True,3,89.83957219251337,4.27807486631016,5.88235294117647
TI23,text,volpe e boscaiolo,True,4,72.72727272727273,26.203208556149733,1.06951871657754
TI21,images,tappeto,True,1,57.647058823529406,34.11764705882353,8.235294117647058
TI21,images,tappeto,True,2,85.11904761904762,7.738095238095238,7.142857142857142
TI21,images,tappeto,True,3,72.61904761904762,18.452380952380953,8.928571428571429
TI21,images,tappeto,True,4,56.547619047619044,41.66666666666667,1.7857142857142856
IT13,text,orso,True,1,82.57756563245823,12.17183770883055,5.250596658711217
IT13,text,orso,True,2,65.07177033492823,17.942583732057415,16.985645933014354
IT13,text,orso,True,3,80.42959427207637,12.887828162291171,6.682577565632458
IT13,text,orso,True,4,11.270983213429256,30.935251798561154,57.793764988009585
TI23,images,tappeto,True,1,71.59763313609467,24.2603550295858,4.142011834319527
TI23,images,tappeto,True,2,96.42857142857143,2.380952380952381,1.1904761904761905
