newid,pid,grp,classe,storia,mod,sex,age,score,n,dur,hz,good,pct_caption,pct_word,pct_image,pct_band,pct_face,pct_mouth,pct_eyes,pct_none,pct_face_only,pct_nose
TI21,B22,TI,1,tappeto,images,F,6,40,675,67.2,10.0,True,67.9,11.1,3.3,53.5,25.6,0.7,0.0,6.5,24.9,0.0
TI21,B22,TI,1,volpe e boscaiolo,text,F,6,0,746,75.0,9.9,True,13.7,9.5,0.0,4.2,1.9,0.1,0.1,84.5,1.6,0.0
TI22,B23,TI,1,tappeto,images,F,7,100,1,67.2,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
TI22,B23,TI,1,volpe e boscaiolo,text,F,7,70,753,75.0,10.0,True,0.0,0.0,0.0,0.0,43.8,1.2,0.0,56.2,42.6,0.0
TI23,B24,TI,1,tappeto,images,M,7,90,674,67.2,10.0,True,87.1,34.7,36.9,15.4,9.3,1.6,2.5,3.6,4.7,0.4
TI23,B24,TI,1,volpe e boscaiolo,text,M,7,100,731,75.0,9.7,True,69.4,40.4,0.0,29.0,21.6,4.0,9.7,9.0,7.0,1.0
TI24,B25,TI,1,tappeto,images,M,7,30,610,67.2,9.1,True,55.6,14.4,6.9,34.3,31.0,0.0,0.0,13.4,31.0,0.0
TI24,B25,TI,1,volpe e boscaiolo,text,M,7,30,504,75.0,6.7,True,24.2,16.9,0.0,7.3,29.8,5.6,9.7,46.0,11.9,2.6
TI25,B26,TI,1,tappeto,images,F,7,80,588,67.2,8.7,True,73.3,31.5,28.7,13.1,19.9,7.7,3.6,6.8,8.3,0.3
TI25,B26,TI,1,volpe e boscaiolo,text,F,7,60,734,75.0,9.8,True,33.2,25.5,0.0,7.8,40.1,18.3,11.0,26.7,7.4,3.4
TI26,B27,TI,1,tappeto,images,F,6,90,675,67.2,10.0,True,73.0,39.3,12.3,21.5,20.9,0.3,0.3,6.1,20.1,0.1
TI26,B27,TI,1,volpe e boscaiolo,text,F,6,90,752,75.0,10.0,True,36.0,30.9,0.0,5.2,61.3,16.5,19.8,2.7,12.4,12.6
TI27,F12,TI,3,gatta,text,M,8,66.7,1181,118.8,9.9,True,67.2,46.1,0.0,21.2,29.7,12.8,9.1,3.0,5.2,2.7
TI27,F12,TI,3,sbadiglio,images,M,8,60,888,101.4,8.8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
